City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Thinadhoo,MV,79.54,overcast clouds,0.5333,72.9333,
10,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
17,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Bengkulu,ID,82.89,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
26,Flinders,AU,79.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
27,Takoradi,GH,79.72,broken clouds,4.8845,-1.7554,Raybow International Hotel
29,Meulaboh,ID,79.56,overcast clouds,4.1363,96.1285,Kost Pria
33,Victoria,HK,82.96,few clouds,22.2855,114.1577,Mini Hotel Central
35,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
39,Ciudad Guayana,VE,79.52,overcast clouds,8.3533,-62.6528,Hotel Las Americas
46,Brownsville,US,80.98,overcast clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
48,Hithadhoo,MV,81.05,overcast clouds,-0.6,73.0833,Scoop Guest House
53,Atuona,PF,79.43,overcast clouds,-9.8,-139.0333,Villa Enata
63,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
67,Butaritari,KI,81.91,few clouds,3.0707,172.7902,Isles Sunset Lodge
79,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
96,Tabou,CI,80.19,clear sky,4.423,-7.3528,hotêl doufoulougou
126,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
141,Hervey Bay,AU,79.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
142,Buala,SB,86.18,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
151,Isangel,VU,81.93,clear sky,-19.55,169.2667,Tanna Lodge
152,Ca Mau,VN,87.8,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
