City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint George,37.1041,-113.5841,77.95,8,98,3.0,US,2022-04-27 02:59:05
1,Rikitea,-23.1203,-134.9692,77.81,75,100,20.96,PF,2022-04-27 02:59:06
2,Tuktoyaktuk,69.4541,-133.0374,15.8,86,75,6.91,CA,2022-04-27 02:59:06
3,Alofi,-19.0595,-169.9187,78.69,78,100,8.05,NU,2022-04-27 02:59:07
4,Elko,41.0002,-115.5012,59.23,28,100,4.0,US,2022-04-27 02:59:07
5,Rio De Janeiro,-22.9028,-43.2075,76.96,88,0,4.61,BR,2022-04-27 02:55:01
6,Bluff,-46.6,168.3333,56.8,66,24,7.4,NZ,2022-04-27 02:59:08
7,Atuona,-9.8,-139.0333,78.91,76,20,22.39,PF,2022-04-27 02:59:08
8,Avarua,-21.2078,-159.775,84.25,74,20,8.05,CK,2022-04-27 02:59:09
9,Yellowknife,62.456,-114.3525,46.92,46,40,5.75,CA,2022-04-27 02:59:09
10,Punta Arenas,-53.15,-70.9167,39.31,65,40,8.05,CL,2022-04-27 02:59:10
11,Bilma,18.6853,12.9164,82.98,10,0,10.07,NE,2022-04-27 02:59:10
12,Bayir,37.2687,28.2167,48.72,68,92,3.11,TR,2022-04-27 02:59:10
13,Port Lincoln,-34.7333,135.8667,67.69,68,65,8.3,AU,2022-04-27 02:59:11
14,Merauke,-8.4667,140.3333,85.42,69,70,4.74,ID,2022-04-27 02:59:11
15,Saldanha,-33.0117,17.9442,48.25,77,0,9.13,ZA,2022-04-27 02:59:11
16,East London,-33.0153,27.9116,62.04,71,93,9.64,ZA,2022-04-27 02:56:36
17,Hovd,48.0056,91.6419,43.72,31,72,4.32,MN,2022-04-27 02:59:12
18,Bambanglipuro,-7.95,110.2833,86.38,65,100,1.25,ID,2022-04-27 02:59:12
19,Castro,-24.7911,-50.0119,61.45,91,36,3.6,BR,2022-04-27 02:59:13
20,Krasnovishersk,60.4078,57.082,39.9,100,100,0.54,RU,2022-04-27 02:59:13
21,Ushuaia,-54.8,-68.3,38.86,45,75,19.57,AR,2022-04-27 02:59:13
22,Visby,57.6409,18.296,35.82,86,75,3.44,SE,2022-04-27 02:59:14
23,Port Alfred,-33.5906,26.891,55.18,92,41,1.01,ZA,2022-04-27 02:59:14
24,Cape Town,-33.9258,18.4232,57.9,78,0,9.22,ZA,2022-04-27 02:57:47
25,Saskylakh,71.9167,114.0833,17.8,81,96,3.78,RU,2022-04-27 02:59:15
26,Makkaveyevo,51.7533,113.9454,43.81,20,20,7.4,RU,2022-04-27 02:59:15
27,Puerto Ayora,-0.7393,-90.3518,72.32,87,15,4.63,EC,2022-04-27 02:59:16
28,Tiksi,71.6872,128.8694,9.45,88,44,2.89,RU,2022-04-27 02:59:16
29,Atar,20.5169,-13.0499,70.23,39,0,8.12,MR,2022-04-27 02:59:16
30,Victoria,22.2855,114.1577,88.97,70,0,7.0,HK,2022-04-27 02:56:18
31,Thompson,55.7435,-97.8558,35.76,30,0,4.61,CA,2022-04-27 02:59:17
32,Bredasdorp,-34.5322,20.0403,52.39,85,0,3.69,ZA,2022-04-27 02:59:17
33,Jati,24.3539,68.2671,85.28,59,0,15.95,PK,2022-04-27 02:59:18
34,Uusikaupunki,60.8004,21.4084,33.39,68,47,6.64,FI,2022-04-27 02:54:32
35,Komsomolskiy,40.4272,71.7189,61.52,82,75,9.22,UZ,2022-04-27 02:59:18
